0	-83.485291	0.000054	18538
1	-83.018700	0.000054	18388
2	-84.010231	0.000049	18588
3	-84.304260	0.000048	17787
4	-84.201065	0.000048	18889
5	-83.536354	0.000052	15983
6	-84.480316	0.000047	17286
7	-83.764824	0.000051	18538
8	-85.123856	0.000043	16384
9	-73.505074	0.000161	7365
10	-70.332588	0.000210	4258
11	-69.390938	0.000284	2605
12	-71.628929	0.000210	3557
13	-72.105476	0.000206	3657
14	-70.761955	0.000237	2154
15	-71.153023	0.000222	3807
16	-68.863777	0.000299	2204
17	-68.392105	0.000308	2655
18	-68.054832	0.000319	2505
19	-67.644722	0.000339	1603
20	-65.196098	0.000441	1703
21	-66.000961	0.000415	1202
22	-65.871902	0.000429	1653
23	-64.957138	0.000464	1653
24	-61.657478	0.000663	1202
25	-65.705437	0.000410	2655
26	-60.654610	0.000791	1102
27	-66.200943	0.000405	1903
28	-62.932964	0.000605	1753
29	-65.686859	0.000410	2906
30	-63.870136	0.000518	1402
31	-65.920410	0.000406	3056
32	-64.252899	0.000506	1002
33	-59.228390	0.000894	701
34	-61.487717	0.000727	200
35	-57.526657	0.001052	601
36	-60.536354	0.000756	1803
37	-55.226170	0.001572	250
38	-58.170647	0.001051	450
39	-53.620617	0.001650	400
40	-60.053040	0.000776	1152
41	-57.612900	0.001037	1052
42	-57.643597	0.001027	1002
43	-58.744320	0.000995	651
44	-52.133980	0.001921	250
45	-53.776852	0.001440	801
46	-55.675087	0.001368	701
47	-57.106750	0.001172	601
48	-52.252426	0.002129	400
49	-52.776310	0.001980	450
50	-52.871105	0.001863	551
51	-59.335636	0.000831	851
52	-57.771790	0.000982	1302
53	-56.983856	0.001208	501
54	-61.118359	0.000728	1002
55	-58.608528	0.000953	1102
56	-56.983166	0.001113	400
57	-56.687557	0.001236	651
58	-58.921814	0.000942	551
59	-52.686653	0.001877	250
60	-53.907082	0.001690	701
61	-56.940811	0.001159	801
62	-54.066151	0.001622	400
63	-55.318661	0.001337	951
64	-56.352024	0.001285	651
65	-55.658741	0.001310	751
66	-57.857250	0.001037	1052
67	-56.635162	0.001178	851
68	-57.334431	0.001051	801
69	-54.280628	0.001580	801
70	-56.171570	0.001321	901
71	-56.471069	0.001250	651
72	-54.785454	0.001560	551
73	-54.285023	0.001572	601
74	-49.410767	0.002679	450
75	-55.814884	0.001320	751
76	-54.437840	0.001620	400
77	-53.048016	0.001749	751
78	-52.947029	0.001830	400
79	-54.554810	0.001675	200
80	-54.753490	0.001434	901
81	-52.836315	0.001912	300
82	-53.026924	0.001739	701
83	-48.603249	0.003152	350
84	-53.829964	0.001708	450
85	-51.996006	0.002132	400
86	-56.094261	0.001347	400
87	-49.030613	0.003021	501
88	-51.005207	0.002374	400
89	-51.470615	0.002151	450
90	-55.828415	0.001306	450
91	-58.068336	0.001030	851
92	-51.511242	0.002244	350
93	-52.725216	0.001846	851
94	-50.864975	0.002443	450
95	-53.467819	0.001719	651
96	-52.245945	0.002172	300
97	-53.483551	0.001742	651
98	-49.988026	0.002733	450
99	-53.590656	0.001665	1102
100	-50.150883	0.002323	851
101	-56.021870	0.001288	851
102	-54.620682	0.001492	1102
103	-56.832962	0.001161	801
104	-53.143536	0.001757	851
105	-51.115707	0.002300	751
106	-54.949986	0.001415	701
107	-51.048740	0.002295	450
108	-53.405521	0.001678	1252
109	-49.291660	0.002745	300
110	-54.462391	0.001524	1052
111	-52.802711	0.001853	651
112	-55.492550	0.001391	551
113	-53.879169	0.001652	501
114	-53.966526	0.001721	400
115	-51.142883	0.002209	551
116	-50.290596	0.002726	751
117	-57.003899	0.001186	701
118	-52.643303	0.001922	751
119	-57.448181	0.001075	901
120	-52.253811	0.001992	551
121	-55.203552	0.001489	701
